,coadd_object_id,ra,dec,z,err_z,flag_des,survey,flag_survey,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
3260,1278935752,36.407197,-4.43571,0.6367,99.0,3,VVDS,3.0,23.314882278442383,22.36508560180664,21.86811065673828,21.553146362304688,22.051902770996094,0.07964891940355301,0.04390905424952507,0.048261165618896484,0.06539326161146164,0.2977639436721802
5181,1278950023,36.466357,-4.597461,0.0853,99.0,4,VVDS,4.0,20.743322372436523,20.267919540405273,20.07115936279297,19.91811752319336,19.94182586669922,0.012282789684832096,0.010116917081177235,0.013999721966683865,0.025651514530181885,0.05653497576713562
1588,956441053,334.298205,0.393679,0.8195,99.0,3,VVDS,3.0,24.025184631347656,22.20458221435547,20.97348403930664,20.437705993652344,20.29517936706543,0.15407027304172516,0.03992154076695442,0.01970985159277916,0.023543477058410645,0.07639307528734207
2780,1278910090,36.510511,-4.147387,0.3416,99.0,4,VVDS,4.0,21.885704040527344,21.26194190979004,21.204504013061523,20.930377960205078,21.09455108642578,0.031092094257473946,0.020241007208824158,0.03325536847114563,0.047769129276275635,0.15239423513412476
6132,954484161,333.805179,-0.281137,0.4068,99.0,4,VVDS,4.0,23.042274475097656,22.113845825195312,21.811073303222656,21.668228149414062,21.267065048217773,0.06214937940239906,0.03478071838617325,0.03923099488019943,0.06510347872972488,0.15931786596775055
1590,958058936,334.812834,1.068358,0.1569,99.0,4,VVDS,4.0,21.843482971191406,21.33586883544922,21.13642120361328,21.07870101928711,20.730966567993164,0.03573717921972275,0.028889095410704613,0.03842434659600258,0.07022581249475479,0.16595228016376495
3659,958160352,335.005792,0.113198,0.4075,99.0,3,VVDS,3.0,23.2080020904541,22.167390823364258,22.0544376373291,21.79132080078125,21.574745178222656,0.0680241584777832,0.03559942916035652,0.04790670797228813,0.07420529425144196,0.2227441519498825
973,958162658,335.216936,0.090518,0.1329,99.0,3,VVDS,3.0,22.4570369720459,21.99636459350586,21.762178421020508,21.7523193359375,21.662221908569336,0.03528358042240143,0.03250833973288536,0.040163733065128326,0.07719102501869202,0.2662738263607025
1238,955871694,334.534813,-0.413151,0.2296,99.0,4,VVDS,4.0,22.912357330322266,22.454477310180664,22.422487258911133,22.360149383544922,23.11846923828125,0.06286561489105225,0.049714889377355576,0.08027777075767517,0.1385459154844284,0.8791532516479492
2342,958141356,334.673181,0.291116,0.3241,99.0,4,VVDS,4.0,22.378398895263672,21.96354866027832,21.904922485351562,21.66904067993164,21.84821128845215,0.030097555369138718,0.027656283229589462,0.03956352919340134,0.062483884394168854,0.2629263699054718
2880,1278927845,36.965523,-4.343731,0.8818,99.0,4,VVDS,4.0,22.66576385498047,22.157819747924805,21.637535095214844,21.298410415649414,20.970020294189453,0.0636957511305809,0.048994891345500946,0.05492054671049118,0.0822598859667778,0.15459993481636047
3505,958183808,334.785557,-0.11411,0.6549,99.0,3,VVDS,3.0,23.213321685791016,22.76618766784668,22.100915908813477,22.051250457763672,22.266157150268555,0.11496749520301819,0.09683981537818909,0.07963345944881439,0.13768522441387177,0.8265788555145264
4209,955490154,334.290431,0.099528,1.1847,99.0,4,VVDS,4.0,22.056669235229492,21.752744674682617,21.58501434326172,21.34081268310547,21.717227935791016,0.03462700545787811,0.037234142422676086,0.047563325613737106,0.0742030218243599,0.4003238379955292
5406,1394582565,53.232001,-27.94281,0.2857,99.0,3,VVDS,3.0,23.57842445373535,23.133365631103516,22.874778747558594,22.847463607788086,99.0,0.07397313416004181,0.06311429291963577,0.09020698815584183,0.1500421017408371,99.0
2231,954062912,333.689725,0.050186,0.4927,99.0,3,VVDS,3.0,23.171428680419922,21.532615661621094,20.83486557006836,20.420286178588867,20.356853485107422,0.08443675935268402,0.02340853586792946,0.019535573199391365,0.026883844286203384,0.08622585982084274
2857,1279113115,36.615088,-4.752662,1.3698,99.0,3,VVDS,3.0,23.69931411743164,23.362306594848633,22.649776458740234,22.4857234954834,22.2836856842041,0.11744515597820282,0.11125379055738449,0.09789712727069855,0.16527286171913147,0.4471585154533386
1497,958194299,335.028941,-0.213674,0.4009,99.0,4,VVDS,4.0,22.245281219482422,21.40839385986328,21.240724563598633,21.04450225830078,21.172914505004883,0.0420086570084095,0.023503368720412254,0.02845567837357521,0.04593600332736969,0.2122345119714737
449,956437252,334.460574,0.428512,0.2164,99.0,4,VVDS,4.0,20.46331787109375,19.790937423706055,19.457027435302734,19.321298599243164,19.311708450317383,0.00771441450342536,0.005794513504952192,0.006337045691907406,0.011875194497406483,0.039026420563459396
2369,955044069,333.808288,0.552653,0.5053,99.0,4,VVDS,4.0,23.031295776367188,22.0928897857666,21.747461318969727,21.427480697631836,21.36383819580078,0.05581272393465042,0.03279408439993858,0.03713979572057724,0.0481429249048233,0.16322460770606995
4638,955044907,333.645319,0.540267,0.3514,99.0,3,VVDS,3.0,20.8460750579834,19.41759490966797,18.913711547851562,18.609575271606445,18.52429962158203,0.0142628513276577,0.005332074593752623,0.0051744855009019375,0.007419748697429895,0.023756498470902443
2422,955043245,333.89128,0.55926,0.9346,99.0,3,VVDS,3.0,23.167333602905273,22.390243530273438,21.501651763916016,21.07168960571289,21.23477554321289,0.08786951750516891,0.057999495416879654,0.03908396512269974,0.04951377213001251,0.19484753906726837
5686,955772550,334.522196,-0.137852,0.3783,99.0,4,VVDS,4.0,22.678815841674805,21.9043025970459,21.769393920898438,21.566404342651367,21.566862106323242,0.04572414606809616,0.030201993882656097,0.03983303904533386,0.06447988748550415,0.24736788868904114
3381,1278927960,36.445127,-4.344293,0.8988,99.0,3,VVDS,3.0,23.879152297973633,23.321048736572266,22.50263214111328,22.114845275878906,22.691923141479492,0.13962268829345703,0.1138993576169014,0.08896487206220627,0.13282251358032227,0.4902971088886261
1551,955763035,334.434512,-0.037845,0.2068,99.0,3,VVDS,3.0,22.17245864868164,21.45017433166504,21.175378799438477,20.98725128173828,20.907432556152344,0.034471116960048676,0.022104211151599884,0.025806864723563194,0.043400589376688004,0.1302500069141388
5617,1278929182,36.43998,-4.358798,0.345,99.0,3,VVDS,3.0,24.024621963500977,22.316667556762695,21.855283737182617,21.51981544494629,21.55556869506836,0.1604350358247757,0.04010969027876854,0.04769865423440933,0.07135432958602905,0.19335393607616425
1146,958300562,334.661297,-0.443949,0.406,99.0,3,VVDS,3.0,22.734825134277344,21.40442657470703,20.81379508972168,20.527427673339844,20.444360733032227,0.06193307787179947,0.022463709115982056,0.019544733688235283,0.02651568315923214,0.09874135255813599
5454,1278937206,36.94899,-4.45249,0.3094,99.0,4,VVDS,4.0,21.69683074951172,20.76408576965332,20.40454864501953,20.10783576965332,20.027864456176758,0.01907370053231716,0.010207920335233212,0.013035371899604797,0.0186314694583416,0.0443841777741909
2092,958128770,334.931468,0.393021,0.6108,99.0,3,VVDS,3.0,23.40265655517578,22.575145721435547,22.070049285888672,21.899005889892578,21.76862335205078,0.09738612174987793,0.060380931943655014,0.05872178450226784,0.09519819170236588,0.34305891394615173
1313,958306512,335.215388,-0.502582,0.3182,99.0,3,VVDS,3.0,21.032020568847656,19.985103607177734,19.554790496826172,19.206695556640625,19.220378875732422,0.014113101176917553,0.007109885569661856,0.0071519664488732815,0.009642803110182285,0.0342831015586853
2015,954061843,333.552902,0.062191,0.5408,99.0,3,VVDS,3.0,24.079463958740234,23.401229858398438,22.856857299804688,22.767744064331055,23.504817962646484,0.1323682814836502,0.09333450347185135,0.0877012386918068,0.15577518939971924,1.0871596336364746
4160,958169769,334.613435,0.01998,0.4294,99.0,3,VVDS,3.0,22.422203063964844,20.626001358032227,20.0614013671875,19.70482635498047,19.91457176208496,0.055477872490882874,0.013479159213602543,0.011432846076786518,0.015952719375491142,0.09002386778593063
3090,1278929517,36.788513,-4.363272,0.6095,99.0,3,VVDS,3.0,23.556684494018555,22.344051361083984,21.758726119995117,21.428089141845703,21.518354415893555,0.10710309445858002,0.047562792897224426,0.05136934295296669,0.07624506205320358,0.265531986951828
6091,958176534,335.017461,-0.044825,0.2049,99.0,4,VVDS,4.0,21.551488876342773,20.9724063873291,20.677671432495117,20.616472244262695,20.452730178833008,0.02188953384757042,0.015572230331599712,0.01711053028702736,0.03203554451465607,0.11056094616651535
1381,958309295,335.127184,-0.526871,0.7607,99.0,4,VVDS,4.0,23.449256896972656,22.438264846801758,21.548765182495117,21.262073516845703,20.951080322265625,0.07477544993162155,0.03820493444800377,0.025640198960900307,0.037256352603435516,0.10620392858982086
5916,1278920937,36.399723,-4.268142,0.5523,99.0,3,VVDS,3.0,22.44167709350586,21.253833770751953,20.70922088623047,20.387178421020508,20.141645431518555,0.04880413040518761,0.020965874195098877,0.02111828327178955,0.03197299316525459,0.06507737934589386
413,955489741,334.572191,0.104111,0.1502,99.0,4,VVDS,4.0,22.500757217407227,22.224878311157227,21.938201904296875,21.382923126220703,19.827253341674805,0.08108340948820114,0.08323013782501221,0.09460028260946274,0.11535383015871048,0.10447616875171661
941,958092018,335.134041,0.7471,0.2099,99.0,4,VVDS,4.0,20.67867660522461,20.035572052001953,19.727659225463867,19.614234924316406,19.603769302368164,0.009475122205913067,0.0067016142420470715,0.007866211235523224,0.013131704181432724,0.04491116479039192
801,958068167,335.172836,0.977821,0.2752,99.0,4,VVDS,4.0,21.30227279663086,20.592784881591797,20.31355094909668,20.243303298950195,20.095102310180664,0.01872340589761734,0.011573897674679756,0.014766933396458626,0.028169218450784683,0.07726527750492096
2750,1278943550,36.844213,-4.519092,0.2372,99.0,4,VVDS,4.0,22.106365203857422,21.682802200317383,21.45827865600586,21.526559829711914,21.770488739013672,0.026564450934529305,0.025363191962242126,0.033012211322784424,0.07094389200210571,0.20881730318069458
2841,1278944163,36.832473,-4.5257,0.894,99.0,4,VVDS,4.0,23.942428588867188,22.72544288635254,21.6063232421875,21.096782684326172,21.096988677978516,0.13772688806056976,0.06114066764712334,0.039031047374010086,0.04560019075870514,0.13103832304477692
3710,958167155,335.044044,0.045928,0.1004,99.0,4,VVDS,4.0,20.89427947998047,20.469820022583008,20.260513305664062,20.137765884399414,20.25876808166504,0.01213061437010765,0.010477201081812382,0.012775428593158722,0.020150616765022278,0.09494167566299438
256,956420575,334.232429,0.589144,0.2465,99.0,3,VVDS,3.0,22.73394775390625,21.631784439086914,21.240690231323242,21.067968368530273,21.40351676940918,0.04566631466150284,0.02241257205605507,0.02373434416949749,0.03987497091293335,0.1713087558746338
6219,955879634,334.109555,-0.494389,0.2564,99.0,4,VVDS,4.0,22.902292251586914,22.30735969543457,22.03253936767578,21.911970138549805,21.93916893005371,0.061304278671741486,0.043636638671159744,0.04973434656858444,0.08685899525880814,0.3106135427951813
2235,955463385,334.048794,0.367853,0.7048,99.0,3,VVDS,3.0,23.92442512512207,21.97694969177246,20.930395126342773,20.542049407958984,20.387638092041016,0.14001281559467316,0.031269147992134094,0.018416041508316994,0.024939686059951782,0.07458502799272537
647,956270543,333.933738,0.792052,0.7018,99.0,4,VVDS,4.0,22.331649780273438,21.6756649017334,21.27314567565918,21.13129234313965,21.319580078125,0.036887384951114655,0.02655932866036892,0.028482601046562195,0.04817935824394226,0.19410167634487152
1767,954996099,333.770809,0.982488,0.3223,99.0,4,VVDS,4.0,21.64541244506836,20.82231330871582,20.555572509765625,20.283260345458984,20.392745971679688,0.01672261208295822,0.010526050813496113,0.013340633362531662,0.019841155037283897,0.06932161748409271
4335,957408518,335.200223,1.219077,0.5135,99.0,4,VVDS,4.0,23.203676223754883,22.519845962524414,22.356958389282227,22.19861602783203,22.48792839050293,0.08056142926216125,0.05783901736140251,0.07357178628444672,0.12439592182636261,0.5676723122596741
2829,1278940415,36.422882,-4.487009,0.5864,99.0,3,VVDS,3.0,23.365222930908203,22.17328453063965,21.965694427490234,21.762203216552734,21.485349655151367,0.11315041780471802,0.05027904734015465,0.07200849056243896,0.11248263716697693,0.22980989515781403
3370,1278926990,36.476588,-4.334689,0.8602,99.0,4,VVDS,4.0,23.67628288269043,22.1268310546875,20.824359893798828,20.293962478637695,20.21307373046875,0.1541445553302765,0.0458039827644825,0.02518569305539131,0.029674679040908813,0.07797390222549438
5715,955789208,334.145086,-0.318859,0.137,99.0,4,VVDS,4.0,22.84931755065918,22.31224822998047,22.182470321655273,22.111053466796875,22.75193977355957,0.045116741210222244,0.03555243834853172,0.04815874993801117,0.08526362478733063,0.5165180563926697
24,1278916538,36.712487,-4.217532,0.2646,99.0,4,VVDS,4.0,23.530054092407227,22.913352966308594,22.621761322021484,22.74598503112793,22.316246032714844,0.08092101663351059,0.05746171623468399,0.07879626750946045,0.18850474059581757,0.33340543508529663
1088,956253114,334.477202,0.959487,0.414,99.0,3,VVDS,3.0,22.29059600830078,20.450769424438477,19.844816207885742,19.527915954589844,19.56584930419922,0.04873465746641159,0.011291037313640118,0.009899523109197617,0.014907012693583965,0.04608221724629402
3209,1278936541,36.433528,-4.445466,0.5871,99.0,4,VVDS,4.0,23.075963973999023,21.647005081176758,20.910619735717773,20.543678283691406,20.45098114013672,0.07589568197727203,0.026670394465327263,0.02493876963853836,0.031987983733415604,0.07774336636066437
