,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
1715,333.955659,-0.427833,0.7291,22.635438919067383,21.239686965942383,20.203369140625,19.682222366333008,19.7620906829834,0.0985332578420639,0.034772779792547226,0.020115574821829796,0.023366278037428856,0.09311044961214066
1716,334.983884,-0.349525,0.5479,23.720550537109375,22.475906372070312,22.00113296508789,21.531633377075195,21.354122161865234,0.1433950662612915,0.06016422063112259,0.05802972614765167,0.07145843654870987,0.24235323071479797
1717,333.964484,-0.427422,0.7557,23.11578369140625,22.37688446044922,21.92899513244629,21.57221031188965,21.757381439208984,0.08327960968017578,0.05335177853703499,0.05305805057287216,0.0708673819899559,0.3153665065765381
1718,334.474634,-0.056389,0.3649,23.41401481628418,22.56778907775879,22.22804069519043,21.92547035217285,22.70177459716797,0.09479660540819168,0.05209491029381752,0.056724753230810165,0.08755142986774445,0.5978928208351135
1719,334.969328,-0.447302,0.1384,22.185747146606445,21.772628784179688,21.532873153686523,21.277212142944336,21.60516929626465,0.04560118913650513,0.0388440303504467,0.046790000051259995,0.06559869647026062,0.3508773446083069
1720,334.699985,-0.35911,0.5203,21.92939567565918,21.380056381225586,21.178451538085938,21.03920555114746,21.171388626098633,0.020596487447619438,0.01651330105960369,0.020381273701786995,0.03436390683054924,0.1448097676038742
1721,334.506283,-0.054326,0.3211,23.10444450378418,22.506549835205078,22.086505889892578,22.046977996826172,22.03166961669922,0.06418108195066452,0.04895986244082451,0.04912135377526283,0.09164563566446304,0.3466694951057434
1722,334.125183,-0.069868,0.4094,22.794225692749023,22.267427444458008,22.271150588989258,22.35901641845703,22.53421401977539,0.05513627827167511,0.0465797558426857,0.06898394972085953,0.14924666285514832,0.6000364422798157
1723,335.114484,-0.317785,0.6205,23.25364112854004,21.384105682373047,20.390506744384766,19.984575271606445,19.765775680541992,0.09705614298582077,0.022562138736248016,0.013610071502625942,0.01711132936179638,0.06537692248821259
1724,334.479217,-0.137475,0.2442,23.202417373657227,22.376144409179688,22.051706314086914,22.318531036376953,22.646366119384766,0.06681927293539047,0.03999458998441696,0.04468214139342308,0.11341230571269989,0.5241644382476807
1725,334.951162,-0.415695,0.1313,20.45603370666504,19.836767196655273,19.502321243286133,19.3126277923584,19.333873748779297,0.00864321831613779,0.006378274876624346,0.007040073163807392,0.011228291317820549,0.04417314752936363
1726,334.958653,-0.426155,0.1493,21.703859329223633,20.616426467895508,20.027660369873047,19.728599548339844,19.683759689331055,0.013179320842027664,0.0063352519646286964,0.00556243397295475,0.007964305579662323,0.028391508385539055
1727,334.434512,-0.037845,0.2068,22.17245864868164,21.45017433166504,21.175378799438477,20.98725128173828,20.907432556152344,0.034471116960048676,0.022104211151599884,0.025806864723563194,0.043400589376688004,0.1302500069141388
1728,334.964737,-0.411597,0.7628,22.854820251464844,21.506027221679688,20.855735778808594,20.60405921936035,20.436279296875,0.08167526125907898,0.03072040155529976,0.02559490315616131,0.039064086973667145,0.11877436935901642
1729,334.483611,-0.114013,0.3533,20.73059844970703,20.022253036499023,19.825693130493164,19.527103424072266,19.6011962890625,0.010939087718725204,0.007654059678316116,0.008951140567660332,0.011951573193073273,0.05459010601043701
1730,334.628472,-0.331272,0.4369,22.689937591552734,21.164974212646484,20.664533615112305,20.243127822875977,20.2067928314209,0.06320367753505707,0.01933707483112812,0.01889483816921711,0.024888915941119194,0.07849391549825668
1731,334.283904,0.388124,0.2174,21.8140926361084,21.264354705810547,21.004085540771484,20.901134490966797,20.667003631591797,0.028015777468681335,0.023377131670713425,0.0281705092638731,0.044383127242326736,0.14397713541984558
1732,334.873152,1.022068,0.827,23.209463119506836,22.81208610534668,22.363126754760742,22.219751358032227,22.759828567504883,0.07976322621107101,0.07221677899360657,0.07690642029047012,0.12537819147109985,0.6801643967628479
1733,334.966852,-0.410804,0.6352,22.72849464416504,21.29266357421875,20.4644775390625,20.089183807373047,19.928682327270508,0.05623940750956535,0.01957898959517479,0.013791317120194435,0.018878323957324028,0.057531822472810745
